14:16:02,76 ,2981.12 ,2745.71 ,2942.98 ,2954.61
14:16:03,80 ,2981.17 ,2745.81 ,2943.07 ,2954.72
14:16:03,84 ,2981.19 ,2745.87 ,2943.12 ,2954.78
14:16:03,88 ,2981.30 ,2745.86 ,2943.15 ,2954.79
14:16:03,92 ,2981.25 ,2745.91 ,2943.23 ,2954.84
14:16:03,96 ,2981.34 ,2746.00 ,2943.19 ,2954.79
14:16:03,100 ,2981.31 ,2745.97 ,2943.26 ,2954.94
14:16:04,104 ,2981.44 ,2746.08 ,2943.31 ,2954.97
14:16:04,108 ,2981.44 ,2746.03 ,2943.37 ,2955.00
14:16:04,112 ,2981.51 ,2746.15 ,2943.38 ,2955.05
14:16:04,116 ,2981.52 ,2746.13 ,2943.39 ,2955.09
14:16:04,120 ,2981.60 ,2746.22 ,2943.45 ,2955.12
14:16:04,124 ,2981.68 ,2746.27 ,2943.52 ,2955.18
14:16:05,128 ,2981.67 ,2746.37 ,2943.57 ,2955.19
14:16:05,132 ,2981.71 ,2746.28 ,2943.63 ,2955.30
14:16:05,136 ,2981.73 ,2746.38 ,2943.66 ,2955.31
14:16:05,140 ,2981.81 ,2746.40 ,2943.72 ,2955.36
14:16:05,144 ,2981.83 ,2746.43 ,2943.76 ,2955.44
14:16:05,148 ,2981.85 ,2746.53 ,2943.76 ,2955.40
14:16:06,152 ,2981.89 ,2746.51 ,2943.77 ,2955.46
14:16:06,156 ,2981.96 ,2746.53 ,2943.87 ,2955.46
14:16:06,160 ,2982.00 ,2746.58 ,2943.86 ,2955.59
14:16:06,164 ,2982.12 ,2746.63 ,2943.90 ,2955.61
14:16:06,168 ,2982.16 ,2746.67 ,2943.99 ,2955.64
14:16:06,172 ,2982.13 ,2746.70 ,2944.03 ,2955.66
14:16:07,176 ,2982.19 ,2746.72 ,2944.05 ,2955.68
14:16:07,180 ,2982.21 ,2746.80 ,2944.12 ,2955.76
14:16:07,184 ,2982.20 ,2746.84 ,2944.09 ,2955.82
14:16:07,188 ,2982.27 ,2746.83 ,2944.18 ,2955.81
14:16:07,192 ,2982.33 ,2746.89 ,2944.29 ,2955.87
14:16:07,196 ,2982.38 ,2746.94 ,2944.20 ,2955.92
14:16:08,200 ,2982.37 ,2746.93 ,2944.28 ,2956.01
14:16:08,204 ,2982.41 ,2746.96 ,2944.35 ,2956.01
14:16:08,208 ,2982.55 ,2747.06 ,2944.38 ,2956.00
14:16:08,212 ,2982.53 ,2747.09 ,2944.41 ,2956.11
14:16:08,216 ,2982.59 ,2747.16 ,2944.54 ,2956.10
14:16:08,220 ,2982.61 ,2747.19 ,2944.50 ,2956.16
14:16:09,224 ,2982.66 ,2747.20 ,2944.51 ,2956.17
14:16:09,228 ,2982.71 ,2747.33 ,2944.58 ,2956.27
14:16:09,232 ,2982.76 ,2747.34 ,2944.63 ,2956.28
14:16:09,236 ,2982.82 ,2747.38 ,2944.72 ,2956.34
14:16:09,240 ,2982.84 ,2747.40 ,2944.75 ,2956.40
14:16:09,244 ,2982.97 ,2747.42 ,2944.74 ,2956.43
14:16:10,248 ,2982.91 ,2747.51 ,2944.83 ,2956.50
14:16:10,252 ,2983.01 ,2747.51 ,2944.83 ,2956.51
14:16:10,256 ,2983.06 ,2747.52 ,2944.89 ,2956.50
14:16:10,260 ,2983.05 ,2747.62 ,2944.95 ,2956.61
14:16:10,264 ,2983.06 ,2747.65 ,2944.92 ,2956.61
14:16:10,268 ,2983.10 ,2747.64 ,2944.94 ,2956.68
14:16:11,272 ,2983.12 ,2747.72 ,2945.06 ,2956.68
14:16:11,276 ,2983.24 ,2747.68 ,2945.03 ,2956.76
14:16:11,280 ,2983.21 ,2747.71 ,2945.05 ,2956.76
14:16:11,284 ,2983.23 ,2747.74 ,2945.13 ,2956.79
14:16:11,288 ,2983.26 ,2747.80 ,2945.11 ,2956.88
14:16:11,292 ,2983.34 ,2747.87 ,2945.24 ,2956.84
14:16:12,296 ,2983.35 ,2747.88 ,2945.24 ,2956.89
14:16:12,300 ,2983.41 ,2747.90 ,2945.28 ,2956.90
14:16:12,304 ,2983.38 ,2747.91 ,2945.27 ,2956.85
14:16:12,308 ,2983.39 ,2747.93 ,2945.27 ,2956.96
14:16:12,312 ,2983.41 ,2747.98 ,2945.26 ,2956.89
14:16:12,316 ,2983.52 ,2747.92 ,2945.34 ,2956.96
14:16:13,320 ,2983.54 ,2748.04 ,2945.32 ,2956.99
14:16:13,324 ,2983.46 ,2748.03 ,2945.35 ,2957.08
14:16:13,328 ,2983.61 ,2748.01 ,2945.42 ,2957.12
14:16:13,332 ,2983.56 ,2748.00 ,2945.39 ,2957.02
14:16:13,336 ,2983.58 ,2748.08 ,2945.45 ,2957.09
14:16:13,340 ,2983.58 ,2748.08 ,2945.47 ,2957.10
14:16:14,344 ,2983.60 ,2748.07 ,2945.52 ,2957.13
14:16:14,348 ,2983.62 ,2748.15 ,2945.49 ,2957.16
14:16:14,352 ,2983.64 ,2748.19 ,2945.54 ,2957.18
14:16:14,356 ,2983.71 ,2748.22 ,2945.57 ,2957.27
14:16:14,360 ,2983.78 ,2748.29 ,2945.60 ,2957.29
14:16:14,364 ,2983.79 ,2748.28 ,2945.70 ,2957.33
14:16:15,368 ,2983.80 ,2748.27 ,2945.63 ,2957.35
14:16:15,372 ,2983.81 ,2748.36 ,2945.68 ,2957.39
14:16:15,376 ,2983.87 ,2748.34 ,2945.76 ,2957.42
14:16:15,380 ,2983.98 ,2748.45 ,2945.77 ,2957.48
14:16:15,384 ,2984.00 ,2748.49 ,2945.81 ,2957.43
14:16:15,388 ,2984.05 ,2748.47 ,2945.83 ,2957.49
14:16:16,392 ,2983.99 ,2748.52 ,2945.86 ,2957.55
14:16:16,396 ,2984.07 ,2748.55 ,2945.89 ,2957.63
14:16:16,400 ,2984.09 ,2748.60 ,2945.88 ,2957.56
14:16:17,0 ,2980.95 ,2745.10 ,2942.15 ,2953.62
14:16:17,4 ,2980.18 ,2744.81 ,2942.08 ,2953.61
14:16:17,8 ,2980.21 ,2744.71 ,2942.00 ,2953.69
14:16:18,12 ,2980.26 ,2744.91 ,2942.16 ,2953.84
14:16:18,16 ,2980.34 ,2744.99 ,2942.28 ,2954.00
14:16:18,20 ,2980.48 ,2745.15 ,2942.46 ,2954.00
14:16:18,24 ,2980.58 ,2745.22 ,2942.45 ,2954.05
14:16:18,28 ,2980.59 ,2745.35 ,2942.50 ,2954.18
14:16:18,32 ,2980.65 ,2745.34 ,2942.55 ,2954.21
14:16:19,36 ,2980.69 ,2745.37 ,2942.65 ,2954.24
14:16:19,40 ,2980.81 ,2745.44 ,2942.65 ,2954.32
14:16:19,44 ,2980.73 ,2745.40 ,2942.74 ,2954.32
14:16:19,48 ,2980.91 ,2745.53 ,2942.80 ,2954.41
14:16:19,52 ,2980.96 ,2745.55 ,2942.83 ,2954.49
14:16:19,56 ,2980.99 ,2745.62 ,2942.87 ,2954.52
14:16:20,60 ,2981.03 ,2745.61 ,2942.96 ,2954.53
14:16:20,64 ,2981.09 ,2745.67 ,2942.96 ,2954.56
14:16:20,68 ,2981.10 ,2745.69 ,2942.98 ,2954.57
14:16:20,72 ,2981.17 ,2745.75 ,2943.10 ,2954.67
14:16:20,76 ,2981.15 ,2745.84 ,2943.10 ,2954.76
14:16:20,80 ,2981.20 ,2745.80 ,2943.13 ,2954.71
14:16:21,84 ,2981.26 ,2745.95 ,2943.20 ,2954.80
14:16:21,88 ,2981.31 ,2745.89 ,2943.18 ,2954.84
14:16:21,92 ,2981.33 ,2745.97 ,2943.23 ,2954.85
14:16:21,96 ,2981.39 ,2746.04 ,2943.26 ,2954.98
14:16:21,100 ,2981.48 ,2746.04 ,2943.28 ,2955.02
14:16:21,104 ,2981.51 ,2746.10 ,2943.38 ,2955.00
